"year","sector","maara","sector2","col","ran","decim","si","lab"
2026,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2027,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2028,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2029,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2030,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2009,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2006,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2005,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2012,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2008,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2010,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2011,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2014,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2013,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2007,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2015,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2016,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2017,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2020,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2019,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2018,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2023,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2021,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2022,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
